State,Ordered On,Product Category 1,Product Category 2,Product Category 3,Product Category 4,Total Net Sales,Total Gross Sales,Order ID,Market Segment
California,2008-01-01 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BINDING SUPPLIES,GBC Binding covers,$226.52,$257.4091,1,CORPORATE
California,2008-01-06 00:00:00,FURNITURE,OFFICE FURNISHINGS,DOOR ACCESSORIES,Ultra Door Pull Handle,$433.94,$456.7789,1,CONSUMER
California,2008-01-06 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BINDER ACCESSORIES,Acco 3-Hole Punch,$117.72,$122.625,1,CONSUMER
California,2008-01-06 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Prang Dustless Chalk Sticks,$17.23,$18.7283,1,CONSUMER
California,2008-01-06 00:00:00,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",SCISSORS,"Fiskars 8"" Scissors, 2/Pack",$48.77,$55.4205,1,HOME OFFICE
California,2008-01-06 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Acco Keyboard-In-A-Box®,$689.78,$783.8409,1,HOME OFFICE
California,2008-01-06 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Acco Pocket Keypad,$574.22,$652.5227,1,CONSUMER
California,2008-01-06 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Microsoft Office Keyboard,$1690.74,$1725.2449,1,CONSUMER
California,2008-01-06 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 6000,$2783.93,$2961.6277,1,CONSUMER
California,2008-01-06 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia CF 768,$600.68,$606.7475,1,CONSUMER
California,2008-01-06 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia P280,$3221.68,$3501.8261,1,HOME OFFICE
California,2008-01-06 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Siemens Accessory18,$1205.33,$1296.0538,1,CONSUMER
California,2008-01-07 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1986,$101.22,$113.7303,1,CORPORATE
California,2008-01-07 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Belkin MediaBoard 104- Keyboard,$1232.69,$1369.6556,1,CORPORATE
California,2008-01-09 00:00:00,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 517,$31.17,$31.8061,1,CORPORATE
California,2008-01-10 00:00:00,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 51,$130.64,$136.0833,1,HOME OFFICE
California,2008-01-10 00:00:00,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 485,$117.58,$127.8043,1,HOME OFFICE
California,2008-01-11 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Logitech Access Keyboard,$145.78,$156.7527,1,CONSUMER
California,2008-01-11 00:00:00,TECHNOLOGY,COPIERS AND FAX,COPIERS,Canon PC940 Copier,$12502.07,$12757.2143,1,CONSUMER
California,2008-01-11 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia M3682,$132.11,$134.8061,1,SMALL BUSINESS
California,2008-01-11 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Siemens Accessory31,$1158.98,$1182.6327,1,CONSUMER
California,2008-01-13 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1952,$168.46,$187.1778,1,HOME OFFICE
California,2008-01-14 00:00:00,FURNITURE,TABLES,MEETING ROOM TABLES,Hon Rectangular Conference Tables,$8306.2,$9229.1111,1,HOME OFFICE
California,2008-01-14 00:00:00,OFFICE SUPPLIES,PAPER,WRITINGS PADS,Petty Cash Envelope,$251.48,$285.7727,1,HOME OFFICE
California,2008-01-14 00:00:00,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",SCISSORS,Acme® Kleen Earth® Office Shears,$22.6,$24.0426,1,HOME OFFICE
California,2008-01-17 00:00:00,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 506,$203.78,$221.5,1,CORPORATE
California,2008-01-19 00:00:00,FURNITURE,OFFICE FURNISHINGS,FRAMES,Coloredge Poster Frame,$110.5,$112.7551,1,CORPORATE
California,2008-01-19 00:00:00,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",LETTER OPENERS,Acme Serrated Blade Letter Opener,$150.42,$160.0213,1,CORPORATE
California,2008-01-19 00:00:00,TECHNOLOGY,COMPUTER PERIPHERALS,KEYBOARDS,Logitech Access Keyboard,$647.68,$689.0213,1,CORPORATE
California,2008-01-20 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,POLY BINDERS,Wilson Jones® Active Use Binders,$251.64,$273.5217,1,CONSUMER
California,2008-01-23 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Global Leather Executive Chair,$13363.28,$14066.6105,1,CONSUMER
California,2008-01-27 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1982,$78.71,$84.6344,1,CORPORATE
California,2008-01-27 00:00:00,OFFICE SUPPLIES,RUBBER BANDS,PINS AND TACKS,Assorted Color Push Pins,$87.24,$88.1212,1,SMALL BUSINESS
California,2008-01-27 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia i1000,$731.59,$746.5204,1,CORPORATE
California,2008-01-28 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Novimex Swivel Fabric Task Chair,$4895.18,$5152.8211,1,HOME OFFICE
California,2008-01-28 00:00:00,OFFICE SUPPLIES,APPLIANCES,AIR PURIFIERS,Holmes HEPA Air Purifier,$361.29,$410.5568,1,HOME OFFICE
California,2008-01-28 00:00:00,OFFICE SUPPLIES,APPLIANCES,SURGE PROTECTORS,Belkin F5C206VTEL 6 Outlet Surge,$228.6,$248.4783,1,HOME OFFICE
California,2008-01-28 00:00:00,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,HEAVY DUTY BINDERS,Canvas Sectional Post Binders,$470.48,$534.6364,1,HOME OFFICE
California,2008-01-30 00:00:00,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PORTABLE STORAGE,Portfile® Personal File Boxes,$873.09,$919.0421,1,SMALL BUSINESS
California,2008-02-01 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 2190,$2300.5,$2500.5435,1,HOME OFFICE
California,2008-02-01 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 3285,$7128.04,$7273.5102,1,HOME OFFICE
California,2008-02-02 00:00:00,FURNITURE,OFFICE FURNISHINGS,FRAMES,3M Hangers With Command Adhesive,$158.45,$170.3763,1,HOME OFFICE
California,2008-02-03 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Safco Contoured Stacking Chairs,$5215.79,$5322.2347,1,SMALL BUSINESS
California,2008-02-04 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,"Global Task Chair, Black",$1508.33,$1694.7528,1,CORPORATE
California,2008-02-04 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 197,$1012.47,$1124.9667,1,CORPORATE
California,2008-02-04 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 332,$53.44,$53.9798,1,CORPORATE
California,2008-02-04 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,PENCILS,Economy #2 Pencils,$66.09,$71.837,1,CORPORATE
California,2008-02-04 00:00:00,OFFICE SUPPLIES,RUBBER BANDS,PINS AND TACKS,Advantus Push Pins,$52.66,$53.1919,1,CORPORATE
California,2008-02-05 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,PENCILS,American® Pencil,$29.53,$30.1327,1,CORPORATE
California,2008-02-06 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Siemens Accessory6,$1183.57,$1286.4891,1,HOME OFFICE
California,2008-02-11 00:00:00,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 8290,$3498.49,$3930.8876,1,HOME OFFICE
California,2008-02-13 00:00:00,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Novimex Fabric Task Chair,$1631.02,$1647.4949,1,HOME OFFICE
California,2008-02-13 00:00:00,FURNITURE,OFFICE FURNISHINGS,LIGHTING,G.E. Halogen Desk Lamp Bulbs,$208.48,$236.9091,1,HOME OFFICE
California,2008-02-13 00:00:00,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 508,$171.64,$173.3737,1,HOME OFFICE
California,2008-02-13 00:00:00,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1908,$50.74,$57.6591,1,HOME OFFICE
California,2008-02-13 00:00:00,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 230,$197.16,$201.1837,1,HOME OFFICE
California,2008-02-13 00:00:00,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Nontoxic Chalk,$18.25,$18.6224,1,CONSUMER
California,2008-02-13 00:00:00,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",SCISSORS,Fiskars® Softgrip Scissors,$271.06,$271.06,1,CONSUMER
