Account ID,Salesperson,Latest Forecast Date,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Projected Annual Sales
A_new,Sam,18/11/2013,"163,00","1708,00","938,00","0,00","2809,00"
A_new,Josie,29/11/2013,"260,00","471,00","2439,00","251,00","3421,00"
A_new,Ed,20/11/2013,"0,00","624,00","935,00","0,00","1559,00"
A_new,Steve,11/12/2013,"938,00","2047,00","1494,00","420,00","4899,00"
A_new,Amy,02/12/2013,"514,00","722,00","307,00","891,00","2434,00"
A_36310,Dwayne,17/11/2013,"2128,00","0,00","310,00","91,00","2529,00"
A_36323,Carl,04/12/2013,"0,00","5787,00","1281,00","2725,00","9793,00"
A_36336,Amy,05/12/2013,"75,00","172,00","0,00","1284,00","1531,00"
A_36347,Dwight,06/12/2013,"1679,00","474,00","1720,00","0,00","3873,00"
A_36361,Collin,27/11/2013,"1237,00","1469,00","806,00","389,00","3901,00"
A_36372,Bill,16/11/2013,"185,00","122,00","0,00","1026,00","1333,00"
A_36382,Alexander,19/11/2013,"0,00","270,00","0,00","116,00","386,00"
A_36394,Alexander,10/12/2013,"621,00","178,00","0,00","0,00","799,00"
A_36404,Alexander,29/11/2013,"810,00","0,00","1560,00","565,00","2935,00"
A_36414,Bill,16/11/2013,"0,00","0,00","0,00","1635,00","1635,00"
A_36422,Dwight,23/11/2013,"4370,00","1155,00","0,00","0,00","5525,00"
A_36433,Anthony,04/12/2013,"2427,00","3962,00","0,00","0,00","6389,00"
A_36442,Alice,05/12/2013,"50,00","609,00","467,00","0,00","1126,00"
A_36451,Cathy,22/11/2013,"797,00","2373,00","0,00","1023,00","4193,00"
A_36461,Dwight,07/12/2013,"81,00","530,00","0,00","348,00","959,00"
A_36462,Brenda,18/11/2013,"345,00","1679,00","1252,00","361,00","3637,00"
A_36471,Barry,29/11/2013,"191,00","0,00","411,00","728,00","1330,00"
A_36482,Collin,20/11/2013,"549,00","292,00","0,00","0,00","841,00"
A_36494,Collin,01/12/2013,"728,00","1877,00","0,00","0,00","2605,00"
A_36504,Cathy,12/12/2013,"0,00","0,00","0,00","0,00","0,00"
A_36515,Bill,23/11/2013,"0,00","0,00","480,00","445,00","925,00"
A_36520,Barry,24/11/2013,"1202,00","65,00","1720,00","0,00","2987,00"
A_36525,Amy,15/12/2013,"496,00","467,00","0,00","405,00","1368,00"
A_36526,Alexander,16/12/2013,"0,00","270,00","1029,00","169,00","1468,00"
A_36529,Sam,22/11/2013,"0,00","2651,00","1243,00","0,00","3894,00"
