SEQKEY,Response,Creative,Marketing Segment,CHANNEL
UB00003103,N,A,13,Direct Mail
UB00004077,N,A,7,Email
UB00005900,N,A,7,Direct Mail
UB00006601,N,A,13,Email
UB00008227,N,A,35,Direct Mail
UB00024943,N,A,31,Email
UB00029348,N,A,13,Email
UB00043646,N,A,35,Email
UB00048470,N,A,13,Web
UB00048512,Y,A,13,Direct Mail
UB00049015,N,A,54,Email
UB00051888,N,A,13,Web
UB00052043,N,A,13,Direct Mail
UB00052571,N,A,54,Direct Mail
UB00055038,N,A,35,Direct Mail
UB00062661,N,A,35,Email
UB00065805,N,A,13,Web
UB00067793,N,A,13,Web
UB00070110,N,A,31,Web
UB00070359,N,A,31,Direct Mail
UB00075556,N,A,31,Email
UB00090365,N,A,32,Email
UB00100149,N,A,35,Direct Mail
UB00102145,N,A,13,Web
UB00104620,N,A,31,Email
UB00107003,N,A,35,Email
UB00120048,N,A,31,Email
UB00121665,N,A,31,Web
UB00124735,N,A,13,Direct Mail
UB00124826,N,A,13,Direct Mail
UB00131474,N,A,13,Web
UB00135202,Y,A,13,Direct Mail
UB00137158,N,A,35,Web
UB00137323,Y,A,1,Web
UB00152348,N,A,13,Email
UB00153114,N,A,54,Email
UB00158915,N,A,54,Direct Mail
UB00160374,N,A,54,Direct Mail
UB00162321,N,A,54,Direct Mail
UB00172403,N,A,7,Web
UB00175802,N,A,7,Web
UB00181404,N,A,7,Web
UB00184515,N,A,32,Direct Mail
UB00191023,N,A,13,Email
UB00191577,N,A,54,Web
UB00192724,N,A,31,Direct Mail
UB00194738,N,A,32,Email
UB00195735,N,A,13,Email
UB00198655,N,A,7,Email
UB00202523,N,A,13,Email
UB00202994,N,A,13,Email
UB00209338,N,A,13,Direct Mail
UB00209627,N,A,35,Web
UB00209726,Y,A,13,Email
UB00212456,N,A,31,Email
UB00213322,N,A,13,Web
UB00218347,N,A,13,Email
UB00218677,N,A,54,Direct Mail
UB00224485,N,A,54,Direct Mail
UB00235986,N,A,31,Direct Mail
UB00244640,N,A,35,Email
UB00246389,N,A,31,Web
UB00251553,N,A,35,Email
UB00252759,N,A,35,Direct Mail
UB00262659,N,A,54,Email
UB00268037,Y,A,1,Web
UB00273714,N,A,13,Web
UB00275230,N,A,35,Direct Mail
UB00281188,N,A,54,Direct Mail
UB00283572,N,A,54,Email
UB00289900,N,A,31,Email
UB00290668,N,A,35,Email
UB00292904,N,A,13,Direct Mail
UB00294637,N,A,13,Direct Mail
UB00296921,N,A,31,Email
UB00299404,N,A,13,Web
UB00308338,N,A,35,Email
UB00311100,N,A,1,Email
UB00311746,N,A,35,Web
UB00312678,N,A,1,Email
UB00320945,N,A,13,Direct Mail
UB00322727,N,A,13,Direct Mail
UB00323238,N,A,13,Email
UB00323436,N,A,32,Email
UB00326298,N,A,13,Direct Mail
UB00327239,N,A,35,Direct Mail
UB00327304,N,A,35,Email
UB00336016,N,A,32,Direct Mail
UB00344929,N,A,13,Direct Mail
UB00347534,N,A,13,Web
UB00351783,N,A,13,Direct Mail
UB00353581,N,A,13,Web
UB00361600,Y,A,13,Direct Mail
UB00377002,Y,A,13,Web
UB00383083,N,A,35,Web
UB00385831,N,A,35,Direct Mail
UB00391060,N,A,35,Web
UB00396887,N,A,35,Email
UB00398735,N,A,35,Email
UB00400945,N,A,35,Email
UB00403402,Y,A,1,Email
UB00405399,N,A,1,Web
UB00408732,N,A,7,Direct Mail
UB00438713,N,A,54,Email
UB00441329,N,A,13,Web
