SEQKEY;Response;Picture Option;Marketing Segment;CHANNEL;Zip3 (not in original)
UB04118139;N;A;35;Web;926
UB04120614;N;A;34;Web;750
UB04157772;N;A;9;Email;100
UB04161212;N;A;9;Web;117
UB04162186;N;A;35;Direct Mail;21
UB04167987;N;A;35;Email;750
UB04169017;Y;A;13;Web;554
UB04169744;N;A;35;Direct Mail;571
UB04171070;N;A;9;Web;117
UB04171203;N;A;9;Email;117
UB04175113;Y;A;9;Email;117
UB04176194;N;A;35;Direct Mail;18
UB04185427;N;A;13;Email;600
UB04190260;N;A;9;Web;38
UB04195061;N;A;13;Direct Mail;731
UB04195152;N;A;13;Direct Mail;201
UB04200010;N;A;56;Web;32
UB04206884;N;A;56;Direct Mail;60
UB04213930;N;A;56;Direct Mail;60
UB04223160;N;A;33;Email;100
UB04227674;N;A;33;Email;32
UB04228458;N;A;33;Web;117
UB04230371;N;A;1;Web;201
UB04240107;N;A;13;Email;18
UB04243721;N;A;13;Email;982
UB04243754;N;A;13;Web;28
UB04245163;N;A;33;Direct Mail;112
UB04255964;N;A;13;Email;38
UB04257432;N;A;13;Direct Mail;191
UB04267969;N;A;13;Direct Mail;750
UB04268496;N;A;31;Direct Mail;331
UB04272084;N;A;54;Email;660
UB04278370;Y;A;35;Email;945
UB04283651;N;A;35;Web;462
UB04290698;N;A;10;Web;926
UB04296919;Y;A;33;Web;32
UB04297065;Y;A;10;Direct Mail;331
UB04303301;N;A;1;Direct Mail;945
UB04306403;N;A;10;Direct Mail;926
UB04314068;Y;A;9;Email;100
UB04324513;N;A;9;Web;100
UB04331641;N;A;57;Web;750
UB04343315;N;A;9;Direct Mail;32
UB04345138;N;A;9;Web;112
UB04348983;N;A;57;Direct Mail;945
UB04356986;N;A;54;Email;381
UB04363354;N;A;35;Email;606
UB04364949;N;A;13;Web;570
UB04374435;N;A;1;Email;441
UB04375382;N;A;54;Email;275
UB04383980;N;A;54;Email;705
UB04387361;N;A;34;Direct Mail;917
UB04388971;N;A;34;Web;752
UB04392510;N;A;34;Direct Mail;752
UB04395042;N;A;1;Email;601
UB04396016;N;A;34;Direct Mail;782
UB04399853;N;A;10;Email;331
UB04400164;N;A;54;Email;720
UB04402707;N;A;57;Direct Mail;945
UB04403457;N;A;10;Email;750
UB04418893;N;A;1;Email;32
UB04423380;N;A;57;Direct Mail;945
UB04429676;N;A;10;Direct Mail;750
UB04429718;N;A;54;Direct Mail;208
UB04433066;N;A;10;Email;752
UB04434908;N;A;31;Web;294
UB04458097;N;A;34;Direct Mail;945
UB04460507;N;A;54;Email;852
UB04464541;N;A;54;Email;191
UB04466983;N;A;31;Direct Mail;600
UB04470571;N;A;31;Direct Mail;503
UB04472049;N;A;33;Email;64
UB04483673;N;A;1;Email;606
UB04484374;N;A;31;Web;275
UB04491411;N;A;1;Web;832
UB04506275;N;A;9;Direct Mail;32
UB04508008;N;A;9;Email;117
UB04508495;N;A;33;Direct Mail;117
UB04514311;N;A;33;Direct Mail;112
UB04518825;N;A;33;Direct Mail;32
UB04519450;N;A;33;Email;68
UB04520201;N;A;7;Direct Mail;853
UB04521613;N;A;9;Email;32
UB04523569;N;A;9;Web;275
UB04524955;N;A;54;Email;21
UB04528634;N;A;9;Email;117
UB04539474;N;A;7;Web;296
UB04543054;N;A;56;Email;32
UB04548301;N;A;56;Email;32
UB04563367;N;A;9;Email;117
UB04565461;N;A;32;Email;18
UB04577482;N;A;35;Direct Mail;38
UB04592473;N;A;9;Web;117
UB04599312;N;A;54;Email;441
UB04601407;N;A;9;Direct Mail;68
UB04604088;N;A;10;Direct Mail;900
UB04604971;Y;A;32;Direct Mail;853
UB04607834;N;A;1;Email;197
UB04611133;N;A;10;Web;900
UB04613246;N;A;32;Web;32
UB04615985;N;A;7;Web;452
UB04622593;N;A;35;Direct Mail;331
UB04624540;N;A;35;Email;900
UB04627998;N;A;35;Direct Mail;64
UB04632089;N;A;33;Direct Mail;117
UB04632329;Y;A;7;Direct Mail;945
UB04634671;N;A;7;Email;38
UB04637773;N;A;10;Direct Mail;900
UB04661773;N;A;31;Email;301
UB04666400;N;A;54;Direct Mail;21
UB04666905;N;A;54;Email;201
UB04669370;N;A;13;Web;800
UB04676144;N;A;32;Direct Mail;800
UB04693107;N;A;31;Email;945
UB04696548;N;A;31;Email;606
UB04697744;N;A;54;Email;331
UB04712097;N;A;54;Direct Mail;531
UB04721692;N;A;35;Direct Mail;601
UB04724860;N;A;54;Web;917
UB04730990;N;A;10;Email;945
UB04738266;N;A;10;Email;945
UB04763744;N;A;1;Direct Mail;180
UB04765921;N;A;54;Email;191
UB04784310;N;A;13;Web;191
UB04787412;N;A;32;Email;662
UB04788071;N;A;31;Email;720
UB04789715;Y;A;31;Web;740
UB04794756;N;A;31;Direct Mail;331
UB04806436;N;A;35;Email;752
UB04811550;N;A;35;Email;631
UB04813416;N;A;35;Email;900
UB04823738;N;A;35;Email;331
UB04827911;N;A;31;Direct Mail;945
UB04832531;N;A;35;Email;750
UB04849014;N;A;32;Web;900
UB04853636;N;A;13;Email;604
UB04855417;N;A;13;Email;481
UB04857421;N;A;54;Direct Mail;973
UB04868279;N;A;31;Direct Mail;917
UB04868386;N;A;31;Direct Mail;945
UB04869350;N;A;54;Email;750
UB04873790;N;A;13;Web;917
UB04874764;N;A;7;Email;482
UB04875688;N;A;13;Web;275
UB04884169;N;A;13;Email;681
UB04891289;N;A;35;Web;191
UB04892535;N;A;35;Web;18
UB04893392;N;A;3;Direct Mail;331
UB04896585;N;A;59;Web;38
UB04896742;N;A;3;Email;900
UB04897351;N;A;13;Email;631
UB04914669;N;A;31;Email;551
UB04916128;N;A;3;Direct Mail;770
UB04917209;N;A;31;Web;945
UB04918108;N;A;31;Email;452
UB04918769;N;A;35;Email;601
UB04929766;N;A;35;Email;301
UB04932331;N;A;13;Email;917
UB04933917;N;A;13;Direct Mail;331
UB04961892;Y;A;13;Direct Mail;750
UB04963401;Y;A;35;Direct Mail;981
UB04966073;N;A;35;Email;201
UB04968483;N;A;35;Email;770
UB04970653;N;A;13;Web;481
UB04972709;N;A;54;Email;551
UB04978441;N;A;3;Email;782
UB04980223;N;A;3;Email;331
UB04982385;N;A;35;Direct Mail;606
UB04982427;N;A;35;Direct Mail;802
UB04990206;N;A;35;Email;32
UB04991436;N;A;13;Direct Mail;782
UB04996682;N;A;13;Web;730
UB05001110;N;A;3;Web;782
UB05002530;N;A;13;Direct Mail;945
UB05003256;Y;A;7;Email;945
UB05005269;N;A;13;Email;386
UB05024112;N;A;7;Direct Mail;370
UB05025200;N;A;13;Email;234
UB05027503;N;A;7;Direct Mail;21
UB05029483;N;A;7;Email;601
UB05030465;N;A;13;Email;275
UB05033691;Y;A;1;Direct Mail;18
UB05034681;N;A;32;Email;480
UB05038443;N;A;13;Web;32
UB05046495;N;A;54;Web;750
UB05052972;N;A;13;Web;234
UB05053715;N;A;13;Direct Mail;945
UB05055207;N;A;1;Web;750
UB05055660;N;A;35;Direct Mail;452
UB05057385;N;A;13;Web;604
UB05057955;N;A;1;Direct Mail;681
UB05067038;N;A;3;Email;945
UB05067772;N;A;35;Direct Mail;750
