SEQKEY;Response;Creative;Marketing Segment;CHANNEL
UB000031033;N;A;13;Direct Mail
UB0000407710;N;A;7;Email
UB0000590013;N;A;7;Direct Mail
UB0000660119;N;A;13;Email
UB000082274;N;A;35;Direct Mail
UB0002494314;N;A;31;Email
UB0002934812;N;A;13;Email
UB000436467;N;A;35;Email
UB000484705;N;A;13;Web
UB000485123;Y;A;13;Direct Mail
UB0004901512;N;A;54;Email
UB0005188810;N;A;13;Web
UB000520433;N;A;13;Direct Mail
UB0005257118;N;A;54;Direct Mail
UB0005503814;N;A;35;Direct Mail
UB0006266114;N;A;35;Email
UB0006580514;N;A;13;Web
UB0006779315;N;A;13;Web
UB0007011013;N;A;31;Web
UB000703593;N;A;31;Direct Mail
UB0007555610;N;A;31;Email
UB000903652;N;A;32;Email
UB0010014913;N;A;35;Direct Mail
UB001021453;N;A;13;Web
UB0010462010;N;A;31;Email
UB0010700317;N;A;35;Email
UB001200487;N;A;31;Email
UB0012166515;N;A;31;Web
UB0012473520;N;A;13;Direct Mail
UB0012482611;N;A;13;Direct Mail
UB0013147420;N;A;13;Web
UB0013520219;Y;A;13;Direct Mail
UB001371582;N;A;35;Web
UB0013732313;Y;A;1;Web
UB0015234813;N;A;13;Email
UB001531145;N;A;54;Email
UB001589153;N;A;54;Direct Mail
UB0016037417;N;A;54;Direct Mail
UB0016232113;N;A;54;Direct Mail
UB0017240311;N;A;7;Web
UB001758029;N;A;7;Web
UB0018140410;N;A;7;Web
UB001845156;N;A;32;Direct Mail
UB001910237;N;A;13;Email
UB0019157716;N;A;54;Web
UB001927246;N;A;31;Direct Mail
UB001947386;N;A;32;Email
UB001957351;N;A;13;Email
UB001986557;N;A;7;Email
UB0020252312;N;A;13;Email
UB0020299420;N;A;13;Email
UB0020933817;N;A;13;Direct Mail
UB002096272;N;A;35;Web
UB0020972619;Y;A;13;Email
UB0021245619;N;A;31;Email
UB002133227;N;A;13;Web
UB0021834713;N;A;13;Email
UB002186774;N;A;54;Direct Mail
UB0022448515;N;A;54;Direct Mail
UB002359861;N;A;31;Direct Mail
UB002446407;N;A;35;Email
UB0024638912;N;A;31;Web
UB0025155319;N;A;35;Email
UB0025275919;N;A;35;Direct Mail
UB002626598;N;A;54;Email
UB0026803718;Y;A;1;Web
UB002737142;N;A;13;Web
UB002752308;N;A;35;Direct Mail
UB002811881;N;A;54;Direct Mail
UB0028357214;N;A;54;Email
UB0028990016;N;A;31;Email
UB002906683;N;A;35;Email
UB0029290414;N;A;13;Direct Mail
UB0029463718;N;A;13;Direct Mail
UB0029692119;N;A;31;Email
UB0029940410;N;A;13;Web
UB0030833812;N;A;35;Email
UB003111005;N;A;1;Email
UB0031174610;N;A;35;Web
UB003126782;N;A;1;Email
UB003209453;N;A;13;Direct Mail
UB003227276;N;A;13;Direct Mail
UB003232389;N;A;13;Email
UB0032343614;N;A;32;Email
UB0032629817;N;A;13;Direct Mail
UB003272398;N;A;35;Direct Mail
UB0032730415;N;A;35;Email
UB0033601611;N;A;32;Direct Mail
UB003449293;N;A;13;Direct Mail
UB0034753415;N;A;13;Web
UB0035178317;N;A;13;Direct Mail
UB0035358113;N;A;13;Web
UB0036160013;Y;A;13;Direct Mail
