WELL_NAME,INJ_DATE,OIL_PROD
368-33S,12/31/2002,1018
368-33S,1/31/2003,1812
368-33S,3/31/2003,938
368-33S,4/30/2003,646
368-33S,6/30/2003,802
368-33S,7/31/2003,887
368-33S,8/31/2003,932
368-33S,9/30/2003,1098
368-33S,10/31/2003,1369
387-33S,12/31/2003,454
366-34S,4/30/2003,562
316-35S,10/31/2003,1751
317-34S,7/31/2003,1230
317-34S,8/31/2003,1241
317-34S,10/31/2003,122
317-34S,11/30/2003,984
317-34S,12/31/2003,1079
317-34S,12/31/2002,1797
317-34S,1/31/2003,1868
317-34S,2/28/2003,1668
317-34S,3/31/2003,813
317-34S,6/30/2003,1065
337-35R,12/31/2002,1251
337-35R,1/31/2003,1254
337-35R,2/28/2003,984
337-35R,3/31/2003,778
337-35R,4/30/2003,812
337-35R,6/30/2003,1375
337-35R,7/31/2003,705
352-26Z,12/31/2002,438
352-26Z,1/31/2003,593
352-26Z,2/28/2003,439
352-26Z,3/31/2003,501
352-26Z,4/30/2003,305
352-26Z,6/30/2003,442
352-26Z,7/31/2003,762
352-26Z,8/31/2003,579
352-26Z,9/30/2003,500
352-26Z,10/31/2003,792
352-26Z,11/30/2003,442
352-26Z,12/31/2003,463
353-26Z,2/28/2003,1178
353-26Z,3/31/2003,1347
353-26Z,4/30/2003,1220
353-26Z,5/31/2003,843
353-26Z,6/30/2003,1205
353-26Z,7/31/2003,1161
353-26Z,8/31/2003,1080
353-26Z,9/30/2003,1323
353-26Z,10/31/2003,1215
353-26Z,12/31/2003,1236
383-26Z,9/30/2003,411
383-26Z,10/31/2003,502
337-34S,5/31/2003,79
331-2B,5/31/2003,1372
331-2B,6/30/2003,1227
331-2B,7/31/2003,1451
331-2B,8/31/2003,1460
331-2B,9/30/2003,876
331-2B,10/31/2003,1204
331-2B,12/31/2003,1135
375X-34S,12/31/2002,6202
375X-34S,1/31/2003,5075
375X-34S,2/28/2003,3126
375X-34S,3/31/2003,3124
342A-3G-RD1,1/31/2003,42
342A-3G-RD1,2/28/2003,39
342A-3G-RD1,3/31/2003,23
342A-3G-RD1,4/30/2003,31
375XA-34S-RD1,10/31/2003,630
